epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1351.48,2.23907,1.58836,0.00333,0.59764,0.43612,0.4656,0.21832,2.15301,1.50529,0.00391,0.00033251,0.00033251,0.0670815
2,2924.4,2.1692,1.42689,0.00311,0.61717,0.44602,0.48893,0.21275,2.19976,1.43287,0.0041,0.00066035,0.00066035,0.034076
3,4184,2.13158,1.37249,0.00304,0.6101,0.42262,0.47229,0.23758,2.09261,1.41141,0.00366,0.000982691,0.000982691,0.001065
4,5621.62,2.10104,1.34999,0.003,0.64846,0.48125,0.52199,0.2724,1.96781,1.24363,0.00343,0.00097525,0.00097525,0.00097525
5,6779.73,2.08633,1.31152,0.00292,0.6931,0.50008,0.5577,0.28745,1.94209,1.16203,0.0034,0.000967,0.000967,0.000967
6,8299.94,2.07395,1.28526,0.00289,0.68364,0.50496,0.55979,0.29326,1.91514,1.13913,0.00329,0.00095875,0.00095875,0.00095875
7,9434.89,2.05373,1.26235,0.00283,0.68638,0.502,0.56073,0.29418,1.8912,1.13057,0.00324,0.0009505,0.0009505,0.0009505
8,10777.7,2.03744,1.25266,0.00284,0.71022,0.50659,0.56834,0.29654,1.95175,1.11988,0.00347,0.00094225,0.00094225,0.00094225
9,11927.5,2.03573,1.23735,0.00279,0.7009,0.52638,0.5823,0.30854,1.89034,1.12135,0.00322,0.000934,0.000934,0.000934
10,13332.5,2.02783,1.23017,0.00277,0.71438,0.52008,0.58058,0.30443,1.88061,1.11063,0.00323,0.00092575,0.00092575,0.00092575
11,14649.5,2.01278,1.21868,0.00276,0.70403,0.52894,0.58814,0.3095,1.87098,1.09773,0.00316,0.0009175,0.0009175,0.0009175
12,15786.3,2.00271,1.20629,0.00274,0.72408,0.53438,0.60081,0.31838,1.86399,1.11663,0.00313,0.00090925,0.00090925,0.00090925
13,16942.2,1.99544,1.19243,0.0027,0.72701,0.53821,0.6012,0.31944,1.84841,1.07252,0.00309,0.000901,0.000901,0.000901
14,18222.5,1.99113,1.18783,0.00268,0.72597,0.54459,0.60962,0.32448,1.8288,1.08261,0.00305,0.00089275,0.00089275,0.00089275
15,19353.6,1.97517,1.17386,0.00266,0.73771,0.53179,0.60167,0.32116,1.84356,1.0517,0.00308,0.0008845,0.0008845,0.0008845
16,20618.5,1.97138,1.16691,0.00267,0.72817,0.53689,0.60688,0.32823,1.82036,1.04232,0.00302,0.00087625,0.00087625,0.00087625
17,21528.8,1.96341,1.1609,0.00264,0.7286,0.54441,0.60817,0.32513,1.84235,1.07001,0.00308,0.000868,0.000868,0.000868
18,22779.5,1.96036,1.16104,0.00263,0.7344,0.54315,0.61256,0.32704,1.83943,1.05471,0.00306,0.00085975,0.00085975,0.00085975
19,23902.5,1.96455,1.153,0.00262,0.73345,0.54794,0.60919,0.32527,1.81378,1.06923,0.00304,0.0008515,0.0008515,0.0008515
20,25036.3,1.94517,1.14244,0.0026,0.73911,0.55185,0.61668,0.32651,1.82214,1.02712,0.00305,0.00084325,0.00084325,0.00084325
